subdomain,creatorId,note
moztw,42212,"spam account (1638 pads) - manually verified"
moztw,42217,"spam account (757 pads) - manually verified"
moztw,45327,"spam account (612 pads) - manually verified"
moztw,44042,"spam account (556 pads) - manually verified"
moztw,42188,"spam account (228 pads) - manually verified"
moztw,42368,"spam account (149 pads) - manually verified"
moztw,44805,"spam account (117 pads) - manually verified"
moztw,45245,"spam account (105 pads) - manually verified"
moztw,43960,"spam account (105 pads) - manually verified"
moztw,43659,"spam account (90 pads) - manually verified"
moztw,44840,"spam account (83 pads) - manually verified"
moztw,42342,"spam account (82 pads) - manually verified"
moztw,44991,"spam account (67 pads) - manually verified"
moztw,44841,"spam account (61 pads) - manually verified"
moztw,43758,"spam account (60 pads) - manually verified"
moztw,44445,"spam account (59 pads) - manually verified"
moztw,41730,"spam account (59 pads) - manually verified"
moztw,43132,"spam account (58 pads) - manually verified"
moztw,43235,"spam account (49 pads) - manually verified"
moztw,43119,"spam account (48 pads) - manually verified"
moztw,41459,"spam account (48 pads) - keyword-classified"
moztw,45511,"spam account (41 pads) - keyword-classified"
moztw,41651,"spam account (40 pads) - keyword-classified"
moztw,43407,"spam account (36 pads) - keyword-classified"
moztw,43505,"spam account (34 pads) - keyword-classified"
moztw,43915,"spam account (30 pads) - keyword-classified"
moztw,43737,"spam account (29 pads) - keyword-classified"
moztw,45295,"spam account (23 pads) - keyword-classified"
moztw,43952,"spam account (23 pads) - keyword-classified"
moztw,44132,"spam account (22 pads) - keyword-classified"
moztw,42442,"spam account (21 pads) - keyword-classified"
moztw,42273,"spam account (20 pads) - keyword-classified"
moztw,42602,"spam account (20 pads) - keyword-classified"
moztw,41713,"spam account (18 pads) - keyword-classified"
moztw,42344,"spam account (18 pads) - keyword-classified"
moztw,43700,"spam account (18 pads) - keyword-classified"
moztw,42308,"spam account (16 pads) - keyword-classified"
moztw,41692,"spam account (15 pads) - keyword-classified"
moztw,43923,"spam account (15 pads) - keyword-classified"
moztw,41597,"spam account (14 pads) - keyword-classified"
moztw,41687,"spam account (14 pads) - keyword-classified"
moztw,42334,"spam account (14 pads) - keyword-classified"
moztw,43367,"spam account (13 pads) - keyword-classified"
moztw,45223,"spam account (13 pads) - keyword-classified"
moztw,42233,"spam account (13 pads) - keyword-classified"
moztw,42205,"spam account (13 pads) - keyword-classified"
moztw,43236,"spam account (11 pads) - keyword-classified"
moztw,42384,"spam account (11 pads) - keyword-classified"
moztw,43963,"spam account (11 pads) - keyword-classified"
moztw,45126,"spam account (11 pads) - keyword-classified"
moztw,43443,"spam account (10 pads) - keyword-classified"
moztw,43419,"spam account (10 pads) - keyword-classified"
moztw,45463,"spam account (10 pads) - keyword-classified"
moztw,42685,"spam account (10 pads) - keyword-classified"
moztw,45610,"spam account (10 pads) - keyword-classified"
moztw,45551,"spam account (10 pads) - keyword-classified"
moztw,42540,"spam account (10 pads) - keyword-classified"
moztw,43232,"spam account (10 pads) - keyword-classified"
moztw,43541,"spam account (10 pads) - keyword-classified"
moztw,42800,"spam account (9 pads) - keyword-classified"
moztw,42620,"spam account (9 pads) - keyword-classified"
moztw,43201,"spam account (9 pads) - keyword-classified"
moztw,43085,"spam account (9 pads) - keyword-classified"
moztw,43462,"spam account (8 pads) - keyword-classified"
moztw,43527,"spam account (8 pads) - keyword-classified"
moztw,46208,"spam account (8 pads) - keyword-classified"
moztw,44898,"spam account (8 pads) - keyword-classified"
moztw,41617,"spam account (8 pads) - keyword-classified"
moztw,41974,"spam account (8 pads) - keyword-classified"
moztw,42094,"spam account (8 pads) - keyword-classified"
moztw,43937,"spam account (8 pads) - keyword-classified"
